make_time,day_part,inhopper,stuffed_crust,product_line,quantity_sold,is_plan_ahead
14.967,4,1,0,Pizza,1,0
14.967,4,2,0,Side,1,0
14.967,4,3,0,Pizza,1,0
14.017,4,1,1,Pizza,1,0
14.017,4,2,0,Pizza,1,0
10.117,4,1,0,Pizza,1,0
10.117,4,2,0,Side,1,0
10.117,4,3,0,Side,1,0
10.117,4,4,0,Extra,1,0
10.117,4,5,0,Extra,1,0
10.117,4,6,0,Beverage,1,0
8.783,4,1,0,Pizza,1,0
9.283,1,1,0,Pizza,1,0
14.15,2,1,0,Pizza,1,1
14.15,2,2,0,Pizza,1,1
14.15,2,3,0,Pizza,1,1
14.15,2,4,0,Pizza,1,1
14.15,2,5,0,Pizza,1,1
14.15,2,6,0,Pizza,1,1
14.15,2,7,0,Pizza,1,1
14.15,2,8,0,Pizza,1,1
7.833,1,1,0,Pizza,1,0
7.833,1,2,0,Side,1,0
7.833,1,3,0,Side,1,0
5.617,4,1,0,Pizza,1,0
12.533,4,1,0,Dessert,1,0
12.533,4,2,0,Sandwich,1,0
7.3,1,1,1,Pizza,1,0
7.3,1,2,0,Side,1,0
20.4,2,1,0,Pizza,2,0
20.4,2,2,0,Extra,4,0
20.4,2,3,0,Sandwich,1,0
20.4,2,4,0,Sandwich,1,0
20.4,2,5,0,Side,1,0
20.4,2,6,0,Side,1,0
8.65,4,1,0,Pizza,1,0
15.117,4,1,0,Sandwich,1,0
15.117,4,2,0,Sandwich,1,0
15.117,4,3,0,Sandwich,1,0
15.117,4,4,0,Pizza,1,0
8.25,3,1,0,Beverage,1,0
8.25,3,2,0,Pizza,1,0
9.067,1,1,0,Pizza,1,0
9.833,4,2,0,Extra,2,0
9.833,4,3,0,Pizza,1,0
7.433,4,1,0,Dessert,1,0
7.433,4,2,0,Pizza,1,0
17.667,4,1,0,Side,1,0
17.667,4,2,0,Pizza,1,0
17.217,2,1,0,Pizza,1,0
14.583,4,1,0,Sandwich,1,0
9.867,1,1,0,Pizza,2,1
9.867,1,2,0,Pizza,1,1
9.867,1,3,0,Pizza,3,1
8.75,1,1,0,Pizza,1,0
12.2,4,1,0,Pizza,1,0
9.1,1,1,0,Pizza,1,0
9.8,4,1,0,Pizza,1,0
9.8,4,2,0,Dessert,1,0
11.1,4,1,0,Pizza,1,0
11.1,4,2,0,Side,1,0
11.1,4,3,0,Pizza,1,0
11.1,4,4,0,Pizza,1,0
26.817,4,1,0,Extra,2,0
26.817,4,2,0,Pizza,1,0
7.333,1,1,0,Extra,3,0
7.333,1,2,0,Extra,2,0
7.333,1,3,0,Side,1,0
7.333,1,4,0,Side,1,0
12.417,2,1,0,Sandwich,1,0
12.417,2,2,0,Sandwich,1,0
12.417,2,3,0,Side,1,0
20.933,4,1,0,Side,1,0
15.033,2,1,0,Pizza,1,0
15.033,2,2,0,Pizza,1,0
15.033,2,3,0,Pizza,1,0
8.417,2,1,0,Pizza,1,0
14.65,2,1,0,Pizza,1,1
14.65,2,2,0,Pizza,1,1
11.433,1,1,0,Side,1,0
11.433,1,2,0,Side,1,0
11.433,1,3,0,Pizza,1,0
11.433,1,4,0,Pizza,1,0
14.25,3,1,0,Sandwich,1,0
14.25,3,2,0,Sandwich,1,0
14.25,3,3,0,Side,1,0
14.25,3,4,0,Pizza,1,0
14.25,3,5,0,Pizza,1,0
14.25,3,6,0,Pizza,1,0
14.25,3,7,0,Pizza,1,0
14.25,3,8,0,Pizza,1,0
9.05,4,1,0,Pizza,1,0
9.05,4,2,0,Pizza,1,0
18.883,1,1,0,Sandwich,1,0
18.883,1,2,0,Side,1,0
18.883,1,3,0,Sandwich,1,0
9.867,4,1,0,Pizza,1,0
8.783,3,1,0,Pizza,1,0
8.783,4,1,0,Pizza,1,0
6.9,4,1,0,Sandwich,1,0
6.9,4,2,0,Sandwich,1,0
24.383,4,1,0,Pizza,1,0
19.733,4,1,0,Pizza,1,0
19.733,4,2,0,Pizza,1,0
10.317,2,1,0,Pizza,1,0
10.317,2,2,0,Pizza,1,0
12.017,1,1,0,Side,1,0
12.017,1,2,0,Pizza,1,0
12.017,1,3,0,Side,1,0
12.65,4,1,0,Extra,4,0
12.65,4,2,0,Pizza,1,0
12.65,4,3,0,Pizza,1,0
18.433,3,1,0,Beverage,1,0
18.433,3,2,0,Pizza,1,0
4.883,2,1,0,Pizza,4,1
4.883,2,2,0,Pizza,4,1
13.767,1,1,0,Pizza,1,0
13.767,1,2,0,Side,1,0
13.767,1,3,0,Dessert,1,0
13.767,1,4,0,Beverage,1,0
24.383,3,1,0,Pizza,1,0
24.383,3,2,0,Pizza,1,0
24.383,3,3,0,Side,1,0
24.383,3,4,0,Side,1,0
13.217,3,1,0,Pizza,1,0
13.217,3,2,0,Side,1,0
17.133,1,1,0,Pizza,1,0
17.133,1,2,0,Pizza,1,0
17.133,1,3,0,Side,1,0
17.133,1,4,0,Pizza,1,0
7.15,4,1,0,Pizza,1,0
7.15,4,2,0,Pizza,1,0
12.95,4,1,0,Pizza,1,0
12.95,4,2,0,Pizza,1,0
16.933,4,1,0,Pizza,1,0
16.933,4,2,0,Pizza,1,0
16.933,4,3,0,Pizza,1,0
16.933,4,4,0,Side,1,0
10.5,4,1,0,Pizza,1,0
10.5,4,2,0,Pizza,1,0
10.617,1,1,0,Pizza,1,0
10.617,1,2,0,Pizza,1,0
8.433,1,1,0,Pizza,1,0
8.433,1,2,0,Side,1,0
8.433,1,3,0,Beverage,1,0
8.433,1,4,0,Beverage,1,0
11.583,3,1,0,Pizza,1,0
11.583,3,2,0,Beverage,1,0
9.2,2,1,0,Pizza,1,0
9.2,2,2,0,Pizza,1,0
9.2,2,3,0,Side,1,0
9.2,2,4,0,Dessert,1,0
9.2,2,5,0,Beverage,1,0
13.217,4,1,0,Pizza,1,0
13.217,4,2,0,Pizza,1,0
9.467,4,1,0,Pizza,1,0
9.467,4,2,0,Side,1,0
10.9,1,1,0,Pizza,1,1
10.9,1,2,0,Pizza,1,1
10.9,1,3,0,Pizza,1,1
10.9,1,4,0,Pizza,1,1
10.9,1,5,0,Pizza,1,1
18.017,4,1,0,Extra,2,0
18.017,4,2,0,Sandwich,1,0
18.017,4,3,0,Sandwich,1,0
16.9,2,1,0,Sandwich,1,0
16.9,2,2,0,Sandwich,1,0
16.9,2,3,0,Side,1,0
10.917,1,1,0,Dessert,1,0
10.917,1,2,0,Sandwich,1,0
10.917,1,3,0,Sandwich,1,0
15.8,1,1,0,Pizza,1,0
15.8,1,2,0,Pizza,1,0
10.583,4,1,0,Extra,2,0
10.583,4,2,0,Extra,2,0
10.583,4,3,0,Pizza,1,0
10.583,4,4,0,Side,1,0
5.767,1,1,0,Pizza,1,0
10.45,1,1,0,Pizza,1,0
13.433,2,1,1,Pizza,1,0
10.283,1,1,0,Side,1,0
10.283,1,2,0,Side,1,0
10.283,1,3,0,Pizza,1,0
25.567,3,1,0,Sandwich,2,0
8.767,1,1,0,Side,1,0
8.767,1,2,0,Pizza,1,0
8.067,1,1,0,Pizza,1,0
14.667,3,1,0,Side,1,0
14.667,3,2,0,Side,1,0
14.667,3,3,0,Pizza,1,0
14.95,4,1,0,Beverage,1,0
14.95,4,2,0,Extra,3,0
14.95,4,3,0,Extra,1,0
14.95,4,4,0,Pizza,1,0
14.95,4,5,0,Pizza,1,0
14.95,4,6,0,Side,1,0
25.45,1,1,0,Pizza,1,0
12.733,4,1,0,Pizza,1,0
13.533,3,1,0,Pizza,1,0
11,4,1,0,Sandwich,1,0
11,4,2,0,Sandwich,1,0
13.517,1,1,0,Pizza,1,0
13.517,1,2,0,Side,1,0
13.517,1,3,0,Pizza,1,0
11.6,4,1,0,Extra,4,0
11.6,4,2,0,Pizza,1,0
9.267,4,1,0,Beverage,1,0
9.267,4,2,0,Sandwich,1,0
9.267,4,3,0,Sandwich,1,0
21.683,4,1,0,Pizza,1,0
21.683,4,2,0,Pizza,1,0
21.683,4,3,0,Side,1,0
21.683,4,4,0,Side,1,0
21.683,4,5,0,Side,1,0
21.683,4,6,0,Sandwich,1,0
21.683,4,7,0,Sandwich,1,0
12.083,2,1,0,Pizza,1,0
12.083,2,2,0,Pizza,1,0
12.683,3,1,0,Pizza,1,0
12.683,3,2,0,Pizza,1,0
13.417,4,1,0,Extra,2,0
13.417,4,2,0,Pizza,1,0
15.9,1,1,0,Side,1,0
15.9,1,2,0,Sandwich,1,0
15.9,1,3,0,Sandwich,1,0
9.817,1,1,0,Side,1,0
9.817,1,2,0,Pizza,1,0
9.817,1,3,0,Pizza,1,0
7.433,3,1,0,Pizza,1,0
7.433,3,2,0,Extra,2,0
7.433,3,3,0,Beverage,1,0
20.167,4,1,0,Pizza,1,0
20.167,4,2,0,Pizza,1,0
10.283,3,1,0,Pizza,1,0
10.283,3,2,0,Side,1,0
10.283,3,3,0,Extra,3,0
7.667,4,1,0,Pizza,1,0
7.667,4,2,0,Pizza,1,0
7.667,4,3,0,Side,1,0
7.667,4,4,0,Side,1,0
7.667,4,5,0,Beverage,1,0
0,1,1,0,Pizza,1,1
11.05,1,2,0,Dessert,1,0
11.05,1,3,0,Pizza,1,0
11.05,1,4,0,Pizza,1,0
12.283,3,1,0,Side,1,0
12.283,3,2,0,Pizza,1,0
11.867,4,1,0,Pizza,1,0
11.6,3,1,0,Pizza,1,0
8.783,4,1,0,Pizza,1,0
8.017,4,2,0,Extra,4,0
8.017,4,3,0,Side,1,0
17.017,4,1,0,Pizza,1,0
9.55,3,1,0,Pizza,1,0
10.083,1,1,0,Pizza,1,0
10.317,1,1,0,Extra,1,0
10.317,1,2,0,Extra,2,0
10.317,1,3,0,Extra,3,0
10.317,1,4,0,Pizza,1,0
10.317,1,5,0,Pizza,1,0
10.317,1,6,0,Pizza,1,0
10.317,1,7,0,Side,1,0
13.167,4,1,0,Pizza,1,0
17.767,2,1,0,Pizza,1,0
17.767,2,2,0,Pizza,1,0
17.767,2,3,0,Pizza,1,0
7.5,4,1,0,Pizza,1,0
7.533,3,1,0,Pizza,1,0
9.35,1,1,0,Side,1,0
9.35,1,2,0,Pizza,1,0
10.717,1,1,0,Side,1,0
10.717,1,2,0,Pizza,1,0
8.65,4,1,0,Pizza,1,0
8.65,4,2,0,Dessert,1,0
10.967,4,1,0,Pizza,1,0
16.967,4,1,0,Pizza,1,0
11.983,4,2,0,Beverage,1,0
11.983,4,3,1,Pizza,1,0
9.167,3,1,0,Pizza,1,0
6.667,3,2,0,Side,1,0
6.667,3,3,0,Side,1,0
11.7,1,1,0,Beverage,1,0
11.7,1,2,0,Extra,3,0
11.7,1,3,0,Pizza,1,0
11.7,1,4,0,Pizza,1,0
11.7,1,5,0,Pizza,1,0
11.7,1,6,0,Side,1,0
26.533,4,1,0,Pizza,1,0
25.067,4,1,0,Pizza,1,0
25.067,4,2,0,Extra,2,0
25.067,4,3,0,Pizza,1,0
12.1,3,1,0,Pizza,1,0
12.433,1,1,0,Pizza,1,0
12.1,1,1,0,Pizza,1,0
11.017,3,1,0,Beverage,1,0
11.017,3,2,0,Pizza,1,0
11.017,3,3,0,Dessert,1,0
14.35,1,1,0,Extra,3,0
14.35,1,2,0,Sandwich,1,0
14.35,1,3,0,Pizza,1,0
10.683,1,1,0,Pizza,1,0
6.667,4,1,0,Pizza,1,0
6.667,4,2,0,Pizza,1,0
6.667,4,3,0,Pizza,1,0
6.667,4,4,0,Dessert,1,0
14.517,4,1,0,Pizza,1,0
6.067,1,1,0,Pizza,1,0
6.067,1,2,0,Pizza,1,0
9.55,1,1,0,Pizza,1,0
9.55,1,2,0,Beverage,1,0
6.967,4,1,0,Pizza,1,0
6.967,4,2,0,Pizza,1,0
6.283,4,1,0,Side,1,0
22.017,4,1,0,Pizza,1,0
0,2,1,0,Pizza,1,1
0,2,2,0,Pizza,1,1
9.95,5,1,0,Pizza,1,0
9.95,5,2,0,Pizza,1,0
9.95,5,3,0,Beverage,1,0
13.167,4,1,0,Pizza,1,0
13.167,4,2,0,Side,1,0
13.167,4,3,0,Extra,4,0
16.117,1,1,0,Pizza,1,0
16.117,1,2,0,Pizza,1,0
9.783,4,1,0,Pizza,1,0
9.783,4,2,0,Side,1,0
9.783,4,3,0,Side,1,0
9.783,4,4,0,Beverage,1,0
12.15,4,1,0,Side,1,0
12.15,4,2,0,Side,1,0
12.15,4,3,0,Extra,2,0
12.15,4,4,0,Extra,1,0
12.15,4,5,0,Beverage,1,0
12.15,4,6,0,Extra,4,0
12.15,4,7,0,Extra,4,0
12.15,4,8,0,Pizza,1,0
22.5,3,1,0,Pizza,1,0
22.5,3,2,0,Side,1,0
10.5,2,1,0,Pizza,1,0
