,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,14.967,1,0,0,2,0,0,0,0,0,0,1,0,12.863867
1,14.967,2,0,0,2,0,0,0,0,0,0,1,0,13.038249
2,14.967,3,0,0,2,0,0,0,0,0,0,1,0,13.309861
3,14.017,1,1,0,2,0,0,0,0,0,0,1,0,13.199774
4,14.017,2,0,0,2,0,0,0,0,0,0,1,0,13.038249
5,10.117,1,0,0,1,0,1,0,0,0,0,1,0,12.062418
6,10.117,2,0,0,1,0,1,0,0,0,0,1,0,12.327073
7,10.117,3,0,0,1,0,1,0,0,0,0,1,0,12.693069
8,10.117,4,0,0,1,0,1,0,0,0,0,1,0,12.90308
9,10.117,5,0,0,1,0,1,0,0,0,0,1,0,12.921125
10,10.117,6,0,0,1,0,1,0,0,0,0,1,0,12.739435
11,8.783,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
12,9.283,1,0,0,1,0,0,0,1,0,0,0,0,10.902016
13,14.15,1,0,1,8,0,0,0,0,1,0,0,0,9.722465
14,14.15,2,0,1,8,0,0,0,0,1,0,0,0,10.095332
15,14.15,3,0,1,8,0,0,0,0,1,0,0,0,10.504651
16,14.15,4,0,1,8,0,0,0,0,1,0,0,0,11.106045
17,14.15,5,0,1,8,0,0,0,0,1,0,0,0,11.3109865
18,14.15,6,0,1,8,0,0,0,0,1,0,0,0,12.042194
19,14.15,7,0,1,8,0,0,0,0,1,0,0,0,11.844137
20,14.15,8,0,1,8,0,0,0,0,1,0,0,0,12.354884
21,7.833,1,0,0,1,0,0,0,1,0,0,0,0,10.902016
22,7.833,2,0,0,1,0,0,0,1,0,0,0,0,11.325521
23,7.833,3,0,0,1,0,0,0,1,0,0,0,0,11.697804
24,5.617,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
25,12.533,1,0,0,0,0,0,1,0,0,0,1,0,11.547424
26,12.533,2,0,0,0,0,0,1,0,0,0,1,0,12.024519
27,7.3,1,1,0,1,0,0,0,1,0,0,0,0,11.392848
28,7.3,2,0,0,1,0,0,0,1,0,0,0,0,11.325521
29,20.4,1,0,0,2,0,0,2,0,1,0,0,0,16.16495
30,20.4,2,0,0,2,0,0,2,0,1,0,0,0,16.265547
31,20.4,3,0,0,2,0,0,2,0,1,0,0,0,16.83305
32,20.4,4,0,0,2,0,0,2,0,1,0,0,0,16.989197
33,20.4,5,0,0,2,0,0,2,0,1,0,0,0,17.06919
34,20.4,6,0,0,2,0,0,2,0,1,0,0,0,17.060654
35,8.65,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
36,15.117,1,0,0,1,0,0,3,0,0,0,1,0,17.618507
37,15.117,2,0,0,1,0,0,3,0,0,0,1,0,17.854218
38,15.117,3,0,0,1,0,0,3,0,0,0,1,0,18.17109
39,15.117,4,0,0,1,0,0,3,0,0,0,1,0,18.61873
40,8.25,1,0,0,1,0,1,0,0,0,1,0,0,11.905571
41,8.25,2,0,0,1,0,1,0,0,0,1,0,0,12.364575
42,9.067,1,0,0,1,0,0,0,1,0,0,0,0,10.902016
43,9.833,2,0,0,1,0,0,0,0,0,0,1,0,12.262157
44,9.833,3,0,0,1,0,0,0,0,0,0,1,0,12.629993
45,7.433,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
46,7.433,2,0,0,1,0,0,0,0,0,0,1,0,12.262157
